layer, center, hexagon,,,,,,, binCount, mdtCount, population
1,POINT (105.85730111936786 21.02685574744757),POLYGON ((105.85841365901365 21.028654384565524, 105.85952617180808 21.026855732977843, 105.85841363216345 21.02505710309476, 105.85618860657226 21.02505710309476, 105.85507606692762 21.026855732977843, 105.85618857972206 21.028654384565524, 105.85841365901365 21.028654384565524)),1,1,60.49230769
1,POINT (105.86063845639892 21.035849113890595),POLYGON ((105.86175106319631 21.03764775100685, 105.86286364312811 21.035849099414083, 105.8617510363319 21.034050469536087, 105.85952587646595 21.034050469536087, 105.85841326966973 21.035849099414083, 105.85952584960154 21.03764775100685, 105.86175106319631 21.03764775100685)),0,null,null
1,POINT (105.85730111936783 21.03405031038966),POLYGON ((105.8584137127311 21.03584894750625, 105.85952627923162 21.0340502959145, 105.85841368586954 21.03225166603549, 105.85618855286617 21.03225166603549, 105.85507595950409 21.0340502959145, 105.8561885260046 21.03584894750625, 105.8584137127311 21.03584894750625)),5,5,324.7562571
1,POINT (105.84728838331051 21.02865429051061),POLYGON ((105.84840093638279 21.03045292762822, 105.8495134626009 21.02865427603952, 105.84840090952976 21.026855646157458, 105.84617585709124 21.026855646157458, 105.8450633040201 21.02865427603952, 105.8461758302382 21.03045292762822, 105.84840093638279 21.03045292762822)),3,3,60.56888889
1,POINT (105.86063869802811 21.02145985779967),POLYGON ((105.86175119740096 21.02325849491864, 105.86286366993099 21.02145984333401, 105.86175117055929 21.01966121344788, 105.85952622549691 21.01966121344788, 105.85841372612522 21.02145984333401, 105.85952619865523 21.02325849491864, 105.86175119740096 21.02325849491864)),3,5,151.6521813
1,POINT (105.85396277530175 21.02865461610198),POLYGON ((105.85507532837649 21.03045325321959, 105.85618785459701 21.02865460163089, 105.85507530152344 21.026855971748827, 105.85285024908006 21.026855971748827, 105.8517376960065 21.02865460163089, 105.85285022222702 21.03045325321959, 105.85507532837649 21.03045325321959)),1,1,0.117647059
1,POINT (105.84728838331048 21.03584885345271),POLYGON ((105.84840099010594 21.03764749056896, 105.84951357003581 21.035848838976193, 105.84840096324152 21.034050209098197, 105.84617580337947 21.034050209098197, 105.84506319658519 21.035848838976193, 105.84617577651505 21.03764749056896, 105.84840099010594 21.03764749056896)),9,13,585.4968904
1,POINT (105.85062580090069 21.019661054286527),POLYGON ((105.8517382868508 21.021459691405834, 105.8528507459609 21.01966103982222, 105.85173826001196 21.017862409935073, 105.84951334178945 21.017862409935073, 105.8484008558405 21.01966103982222, 105.8495133149506 21.021459691405834, 105.8517382868508 21.021459691405834)),4,7,108.5195628
1,POINT (105.85730067630521 21.037647787200047),POLYGON ((105.85841329653718 21.039446424315962, 105.85952588990072 21.037647772722178, 105.85841326966992 21.035849142845198, 105.8561880829405 21.035849142845198, 105.8550754627097 21.037647772722178, 105.85618805607325 21.039446424315962, 105.85841329653718 21.039446424315962)),0,null,null
1,POINT (105.85396366151507 21.025057074166067),POLYGON ((105.85507618773481 21.02685571128436, 105.85618868710604 21.025057059697698, 105.85507616088745 21.023258429813595, 105.85285116214268 21.023258429813595, 105.85173863592411 21.025057059697698, 105.85285113529534 21.02685571128436, 105.85507618773481 21.02685571128436)),6,15,75.23074443
